,0,1,2
lag_-1_days_lag_1_years,float64,0.41,19949
CompetitionSinceMonths,float64,0.32,348
lag_-1_days_6_months_roll_30_days_10percentile,float64,0.27,7580
lag_-1_days_6_months_roll_30_days_median,float64,0.27,24465
lag_-1_days_6_months_roll_30_days_skew,float64,0.27,735209
lag_-1_days_6_months_roll_30_days_90percentile,float64,0.27,104897
lag_-1_days_6_months_roll_30_days_std,float64,0.27,735366
lag_-1_days_6_months_roll_30_days_mean,float64,0.27,221767
lag_-1_days_6_months_roll_30_days_kurt,float64,0.27,735882
lag_1_-1_days_6_months_pct_change,float64,0.25,529530
lag_1_-1_days_6_months_diff,float64,0.23,33458
lag_-1_days_lag_6_months,float64,0.23,20892
lag_1_-1_days_3_months_pct_change,float64,0.19,653133
lag_1_0_days_pct_change,float64,0.17,1
lag_-1_days_3_months_roll_30_days_90percentile,float64,0.15,113982
lag_-1_days_3_months_roll_30_days_kurt,float64,0.15,856136
lag_-1_days_3_months_roll_30_days_median,float64,0.15,25141
lag_-1_days_3_months_roll_30_days_skew,float64,0.15,855685
lag_-1_days_3_months_roll_30_days_std,float64,0.15,855814
lag_-1_days_3_months_roll_30_days_mean,float64,0.15,231168
lag_-1_days_3_months_roll_30_days_10percentile,float64,0.15,9230
lag_1_-1_days_3_months_diff,float64,0.11,30820
lag_-1_days_lag_3_months,float64,0.11,21266
lag_-1_days_1_months_roll_30_days_std,float64,0.08,927736
lag_-1_days_1_months_roll_30_days_mean,float64,0.08,236251
lag_-1_days_1_months_roll_30_days_10percentile,float64,0.08,9344
lag_-1_days_1_months_roll_30_days_kurt,float64,0.08,928173
lag_-1_days_1_months_roll_30_days_skew,float64,0.08,927509
lag_-1_days_1_months_roll_30_days_90percentile,float64,0.08,120383
lag_-1_days_1_months_roll_30_days_median,float64,0.08,25667
days_to_next_state_holiday,float64,0.07,147
lag_1_-1_days_1_months_pct_change,float64,0.05,635851
lag_1_-1_days_1_months_diff,float64,0.04,35140
lag_-1_days_lag_1_months,float64,0.04,21533
lag_20_days,float64,0.03,21661
lag_13_days,float64,0.02,21691
lag_6_days_roll_7_days_median,float64,0.02,17131
lag_6_days_roll_7_days_90percentile,float64,0.02,115306
lag_6_days_roll_7_days_10percentile,float64,0.02,22983
lag_6_days_roll_7_days_mean,float64,0.02,83406
lag_6_days_roll_7_days_skew,float64,0.02,858475
lag_6_days_roll_7_days_std,float64,0.02,865176
lag_6_days_roll_7_days_kurt,float64,0.02,859454
Month_te,float64,0.01,808582
days_to_next_school_holiday,float64,0.01,118
DayOfWeek_te,float64,0.01,786145
lag_0_days_roll_7_days_median,float64,0.01,17147
lag_0_days_roll_7_days_10percentile,float64,0.01,23056
lag_0_days_roll_7_days_90percentile,float64,0.01,115662
lag_6_days,float64,0.01,21703
lag_0_days_roll_7_days_std,float64,0.01,871741
lag_0_days_roll_7_days_skew,float64,0.01,864971
lag_0_days_roll_7_days_kurt,float64,0.01,865985
lag_0_days_roll_7_days_mean,float64,0.01,83514
StateHoliday_te,float64,0.01,976072
Quarter_te,float64,0.01,949028
Year_te,float64,0.0,968590
Promo_te,float64,0.0,988099
SchoolHoliday_te,float64,0.0,989808
Promo2_te,float64,0.0,996371
CompetitionDistance,float64,0.0,654
lag_1_days,float64,0.0,21722
StoreType_te,float64,0.0,1004145
Store_te,float64,0.0,1004145
Assortment_te,float64,0.0,1004145
lag_0_days,float64,0.0,21726
lag_1_0_days_diff,float64,0.0,1
days_since_last_state_holiday,float64,0.0,136
is_month_start,bool,0.0,2
is_month_end,bool,0.0,2
DayOfMonth_sin,float64,0.0,31
DayOfMonth_cos,float64,0.0,26
WeekOfYear_sin,Float64,0.0,45
WeekOfYear_cos,Float64,0.0,47
Open,int64,0.0,2
is_weekend,bool,0.0,2
consecutive_promo_days,int64,0.0,6
consecutive_promo2_days,int64,0.0,32
